row_id,codepoint,char,cluster_kmeans,cluster_agglomerative,k,space
0,U+3400,㐀,53,,60,semantic
1,U+3402,㐂,47,,60,semantic
2,U+3403,㐃,0,,60,semantic
3,U+3407,㐇,0,,60,semantic
4,U+3408,㐈,0,,60,semantic
5,U+3409,㐉,0,,60,semantic
6,U+340A,㐊,0,,60,semantic
7,U+340B,㐋,0,,60,semantic
8,U+340C,㐌,43,,60,semantic
9,U+340D,㐍,0,,60,semantic
10,U+340E,㐎,0,,60,semantic
11,U+340F,㐏,0,,60,semantic
12,U+3410,㐐,0,,60,semantic
13,U+3411,㐑,0,,60,semantic
14,U+3412,㐒,0,,60,semantic
15,U+3413,㐓,0,,60,semantic
16,U+3414,㐔,0,,60,semantic
17,U+3415,㐕,0,,60,semantic
18,U+3416,㐖,32,,60,semantic
19,U+3417,㐗,0,,60,semantic
20,U+3418,㐘,0,,60,semantic
21,U+3419,㐙,0,,60,semantic
22,U+341A,㐚,0,,60,semantic
23,U+341B,㐛,0,,60,semantic
24,U+341C,㐜,42,,60,semantic
25,U+341D,㐝,0,,60,semantic
26,U+341E,㐞,0,,60,semantic
27,U+341F,㐟,0,,60,semantic
28,U+3420,㐠,0,,60,semantic
29,U+3421,㐡,45,,60,semantic
30,U+3422,㐢,0,,60,semantic
31,U+3423,㐣,0,,60,semantic
32,U+3424,㐤,20,,60,semantic
33,U+3425,㐥,0,,60,semantic
34,U+3426,㐦,0,,60,semantic
35,U+3428,㐨,25,,60,semantic
36,U+3429,㐩,24,,60,semantic
37,U+342A,㐪,0,,60,semantic
38,U+342B,㐫,15,,60,semantic
39,U+342D,㐭,48,,60,semantic
40,U+342E,㐮,20,,60,semantic
41,U+342F,㐯,20,,60,semantic
42,U+3430,㐰,20,,60,semantic
43,U+3431,㐱,4,,60,semantic
44,U+3432,㐲,32,,60,semantic
45,U+3433,㐳,18,,60,semantic
46,U+3434,㐴,13,,60,semantic
47,U+3435,㐵,12,,60,semantic
48,U+3436,㐶,0,,60,semantic
49,U+3437,㐷,42,,60,semantic
